[00:00:00.000007177] (+?.?????????) init: { row = 35, col = 9 }, { }
[00:00:00.000468240] (+0.000000216) epiphanious: { row = 32, col = 10 }, { sum = 15 }
[00:00:00.000468456] (+0.000000216) epiphanious: { row = 32, col = 11 }, { sum = 15 }
[00:00:00.000481632] (+0.000013176) epiphanious: { row = 33, col = 8 }, { sum = 15 }
[00:00:00.000481848] (+0.000000216) epiphanious: { row = 33, col = 9 }, { sum = 15 }
[00:00:00.000482064] (+0.000000216) epiphanious: { row = 33, col = 10 }, { sum = 15 }
[00:00:00.000482280] (+0.000000216) epiphanious: { row = 33, col = 11 }, { sum = 15 }
[00:00:00.000495456] (+0.000013176) epiphanious: { row = 34, col = 8 }, { sum = 15 }
[00:00:00.000495672] (+0.000000216) epiphanious: { row = 34, col = 9 }, { sum = 15 }
[00:00:00.000495888] (+0.000000216) epiphanious: { row = 34, col = 10 }, { sum = 15 }
[00:00:00.000496104] (+0.000000216) epiphanious: { row = 34, col = 11 }, { sum = 15 }
[00:00:00.000509280] (+0.000013176) epiphanious: { row = 35, col = 8 }, { sum = 15 }
[00:00:00.000509496] (+0.000000216) epiphanious: { row = 35, col = 9 }, { sum = 15 }
[00:00:00.000509712] (+0.000000216) epiphanious: { row = 35, col = 10 }, { sum = 15 }
[00:00:00.000509928] (+0.000000216) epiphanious: { row = 35, col = 11 }, { sum = 15 }
[00:00:00.000544757] (+0.000034829) epiphanious: { row = 32, col = 8 }, { sum = 21 }
[00:00:00.000545009] (+0.000000252) epiphanious: { row = 32, col = 9 }, { sum = 21 }
[00:00:00.000545261] (+0.000000252) epiphanious: { row = 32, col = 10 }, { sum = 21 }
[00:00:00.000545513] (+0.000000252) epiphanious: { row = 32, col = 11 }, { sum = 21 }
[00:00:00.000560885] (+0.000015372) epiphanious: { row = 33, col = 8 }, { sum = 21 }
[00:00:00.000561137] (+0.000000252) epiphanious: { row = 33, col = 9 }, { sum = 21 }
[00:00:00.000561389] (+0.000000252) epiphanious: { row = 33, col = 10 }, { sum = 21 }
[00:00:00.000561641] (+0.000000252) epiphanious: { row = 33, col = 11 }, { sum = 21 }
[00:00:00.000577013] (+0.000015372) epiphanious: { row = 34, col = 8 }, { sum = 21 }
